Date,Contest number,Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Day of Week,MS
1/7/2022,202,slump,80630,1362,1,3,23,39,24,9,1,Friday,4.13
1/8/2022,203,crank,101503,1763,1,5,23,31,24,14,2,Saturday,4.22
1/9/2022,204,gorge,91477,1913,1,3,13,27,30,22,4,Sunday,4.64
1/10/2022,205,query,107134,2242,1,4,16,30,30,17,2,Monday,4.43
1/11/2022,206,drink,153880,3017,1,9,35,34,16,5,1,Tuesday,3.77
1/12/2022,207,favor,137586,3073,1,4,15,26,29,21,4,Wednesday,4.57
1/13/2022,208,abbey,132726,3345,1,2,13,29,31,20,3,Thursday,4.56
1/14/2022,209,tangy,169484,3985,1,4,21,30,24,15,5,Friday,4.37
1/15/2022,210,panic,205880,4655,1,9,35,34,16,5,1,Saturday,3.77
1/16/2022,211,solar,209609,4955,1,9,32,32,18,7,1,Sunday,3.82
1/17/2022,212,shire,222197,5640,1,8,32,32,18,8,2,Monday,3.93
1/18/2022,213,proxy,220950,6206,1,2,11,24,31,26,6,Tuesday,4.87
1/19/2022,214,point,280622,7094,1,16,37,28,12,4,1,Wednesday,3.47
1/20/2022,215,robot,243964,6589,1,8,29,34,20,8,1,Thursday,3.95
1/21/2022,216,prick,273727,7409,1,8,30,33,19,7,1,Friday,3.83
1/22/2022,217,wince,241489,6850,1,3,17,33,29,15,3,Saturday,4.46
1/23/2022,218,crimp,269929,7630,1,5,28,38,20,7,1,Sunday,3.96
1/24/2022,219,knoll,258038,8317,1,1,11,29,33,21,4,Monday,4.71
1/25/2022,220,sugar,276404,8708,1,6,25,34,23,9,1,Tuesday,4
1/26/2022,221,whack,302348,10163,1,4,22,37,24,10,2,Wednesday,4.17
1/27/2022,222,mount,331844,11451,1,9,29,33,19,7,1,Thursday,3.82
1/28/2022,223,perky,296968,11148,1,4,17,30,27,17,4,Friday,4.45
1/29/2022,224,could,313220,11592,1,7,29,35,20,8,1,Saturday,3.97
1/30/2022,225,wrung,294687,11524,0,2,18,39,27,12,2,Sunday,4.36
1/31/2022,226,light,341314,13347,1,10,25,27,19,12,5,Monday,4.06
2/1/2022,227,those,351663,13606,1,13,34,30,15,6,1,Tuesday,3.67
2/2/2022,228,moist,361908,14205,3,13,32,29,16,7,1,Wednesday,3.68
2/3/2022,229,shard,358176,14609,1,7,22,28,25,14,4,Thursday,4.3
2/4/2022,230,pleat,359679,14813,1,10,28,31,19,9,2,Friday,3.92
2/5/2022,231,aloft,319698,13708,1,4,22,36,25,11,2,Saturday,4.24
2/6/2022,232,skill,311018,13716,1,3,17,33,27,16,3,Sunday,4.42
2/7/2022,233,elder,288228,13340,1,3,13,24,30,24,5,Monday,4.71
2/8/2022,234,frame,336236,15369,1,10,20,24,24,17,3,Tuesday,4.2
2/9/2022,235,humor,305372,13846,1,5,22,34,25,11,2,Wednesday,4.18
2/10/2022,236,pause,304830,13480,1,8,26,32,21,10,2,Thursday,4.02
2/11/2022,237,ulcer,278826,10631,1,4,18,30,28,16,3,Friday,4.4
2/12/2022,238,ultra,269885,9310,1,7,23,34,24,10,1,Saturday,4.07
2/13/2022,239,robin,277471,3249,1,6,29,34,21,8,1,Sunday,3.96
2/14/2022,240,cynic,261521,10343,1,6,25,33,22,11,2,Monday,4.1
2/15/2022,241,aroma,287836,10343,1,6,25,33,22,11,2,Tuesday,4.1
2/16/2022,242,caulk,289721,10740,1,4,20,31,26,15,3,Wednesday,4.34
2/17/2022,243,shake,342003,12767,1,6,16,23,24,21,9,Thursday,4.62
2/18/2022,244,dodge,265238,10220,1,3,15,29,27,19,7,Friday,4.66
2/19/2022,245,swill,282327,11241,1,1,8,19,31,30,10,Saturday,5.08
2/20/2022,246,tacit,273306,11094,1,4,21,32,26,14,3,Sunday,4.35
2/21/2022,247,other,278731,10887,1,9,26,30,21,10,2,Monday,3.96
2/22/2022,248,thorn,306356,11814,1,14,38,30,12,4,0,Tuesday,3.47
2/23/2022,249,trove,277576,11411,1,5,16,24,25,22,8,Wednesday,4.68
2/24/2022,250,bloke,250674,10405,1,6,21,32,25,12,2,Thursday,4.15
2/25/2022,251,vivid,255907,11687,1,2,10,29,33,21,4,Friday,4.7
2/26/2022,252,spill,248363,10087,1,5,26,34,22,10,2,Saturday,4.09
2/27/2022,253,chant,250413,10438,1,9,33,33,16,7,1,Sunday,3.79
2/28/2022,254,choke,251094,10521,1,8,30,36,18,6,1,Monday,3.84
3/1/2022,255,rupee,240137,10577,1,2,17,35,30,13,2,Tuesday,4.38
3/2/2022,256,nasty,257304,10813,1,7,26,31,21,11,2,Wednesday,4.02
3/3/2022,257,mourn,240018,10465,1,8,29,34,19,8,1,Thursday,3.9
3/4/2022,258,ahead,203730,9396,1,5,20,35,26,12,2,Friday,4.27
3/5/2022,259,brine,229895,10405,1,9,25,29,22,12,3,Saturday,4.13
3/6/2022,260,cloth,218595,9911,1,8,33,34,17,7,1,Sunday,3.86
3/7/2022,261,hoard,218595,9823,1,9,30,34,19,7,1,Monday,3.89
3/8/2022,262,sweet,207473,9767,1,5,18,31,28,15,2,Tuesday,4.33
3/9/2022,263,month,201799,9435,1,5,26,37,22,8,1,Wednesday,4.02
3/10/2022,264,lapse,208884,9960,0,8,31,34,19,7,1,Thursday,3.9
3/11/2022,265,watch,226349,12400,1,6,14,18,17,24,20,Friday,4.96
3/12/2022,266,today,192049,9353,1,7,29,35,20,7,1,Saturday,3.91
3/13/2022,267,focus,179436,8937,1,4,23,36,24,10,1,Sunday,4.09
3/14/2022,268,smelt,185406,9373,0,5,19,33,28,13,2,Monday,4.32
3/15/2022,269,tease,202855,10024,1,16,32,30,16,6,1,Tuesday,3.72
3/16/2022,270,cater,217856,11234,1,7,19,22,19,18,15,Wednesday,4.68
3/17/2022,271,movie,169071,8847,1,5,18,30,26,16,3,Thursday,4.32
3/18/2022,272,saute,179830,9304,1,8,31,34,19,6,1,Friday,3.84
3/19/2022,273,allow,156311,8515,0,5,21,32,26,14,3,Saturday,4.37
3/20/2022,274,renew,154987,8417,0,4,20,33,27,13,2,Sunday,4.28
3/21/2022,275,their,173636,9200,2,14,36,30,13,4,0,Monday,3.46
3/22/2022,276,slosh,160161,8807,0,2,19,36,27,13,2,Tuesday,4.33
3/23/2022,277,purge,156785,8555,1,4,22,35,26,11,2,Wednesday,4.25
3/24/2022,278,chest,169066,9318,1,14,35,31,14,5,1,Thursday,3.65
3/25/2022,279,depot,150197,8562,0,5,29,36,20,7,1,Friday,3.91
3/26/2022,280,epoxy,149507,9376,0,2,13,31,33,18,3,Saturday,4.62
3/27/2022,281,nymph,165468,9935,1,2,18,44,26,26,9,Sunday,5.84
3/28/2022,282,found,173696,10613,1,6,17,22,20,21,14,Monday,4.76
3/29/2022,283,shall,149070,8494,0,3,17,30,28,17,4,Tuesday,4.48
3/30/2022,284,stove,158139,9318,0,5,16,24,27,21,6,Wednesday,4.58
3/31/2022,285,lowly,135219,8469,0,2,9,26,32,24,8,Thursday,4.96
4/1/2022,286,snout,144648,8913,1,4,19,27,26,18,5,Friday,4.47
4/2/2022,287,trope,155079,9315,1,16,33,28,15,6,1,Saturday,3.62
4/3/2022,288,fewer,124532,7931,0,2,10,24,32,26,6,Sunday,4.89
4/4/2022,289,shawl,129651,7943,0,3,16,31,30,16,3,Monday,4.46
4/5/2022,290,natal,121356,7702,0,2,14,32,32,17,3,Tuesday,4.58
4/6/2022,291,comma,117856,7560,0,2,13,33,33,17,3,Wednesday,4.64
4/7/2022,292,foray,117761,7575,0,2,14,31,31,19,4,Thursday,4.68
4/8/2022,293,scare,141158,9010,1,12,23,26,21,13,4,Friday,4.09
4/9/2022,294,stair,134210,8537,2,21,36,26,11,4,1,Saturday,3.41
4/10/2022,295,black,126241,7894,1,10,31,34,18,6,1,Sunday,3.83
4/11/2022,296,squad,109828,7236,0,3,20,33,27,14,2,Monday,4.32
4/12/2022,297,royal,114907,7275,1,5,24,36,23,9,1,Tuesday,4.03
4/13/2022,298,chunk,123255,7835,1,4,29,42,18,5,1,Wednesday,3.91
4/14/2022,299,mince,113448,7356,0,6,24,35,24,10,1,Thursday,4.12
4/15/2022,300,shame,129991,8522,1,11,22,25,21,15,5,Friday,4.19
4/16/2022,301,cheek,107987,7035,0,3,19,40,28,9,1,Saturday,4.25
4/17/2022,302,ample,106681,7008,0,4,20,35,27,11,2,Sunday,4.24
4/18/2022,303,flair,112383,7341,1,8,30,36,18,6,1,Monday,3.84
4/19/2022,304,foyer,108899,8198,0,2,10,19,19,23,26,Tuesday,5.26
4/20/2022,305,cargo,102007,6796,0,5,20,34,27,12,2,Wednesday,4.28
4/21/2022,306,oxide,97955,6960,0,2,11,30,33,21,4,Thursday,4.77
4/22/2022,307,plant,119232,7731,2,19,39,28,10,3,0,Friday,3.36
4/23/2022,308,olive,95562,6482,1,6,25,34,23,10,1,Saturday,4.06
4/24/2022,309,inert,97452,6743,0,7,27,34,22,9,1,Sunday,4.03
4/25/2022,310,askew,91548,6549,0,3,13,29,32,19,4,Monday,4.64
4/26/2022,311,heist,103153,6830,1,13,32,31,16,6,1,Tuesday,3.7
4/27/2022,312,shown,98967,6564,0,6,26,36,22,8,1,Wednesday,4
4/28/2022,313,zesty,88974,6315,0,2,12,27,30,22,7,Thursday,4.8
4/29/2022,314,trash,106652,7001,2,19,34,27,13,4,1,Friday,3.45
4/30/2022,315,larva,77991,5749,0,2,10,25,35,23,4,Saturday,4.76
5/1/2022,316,forgo,77658,5699,0,1,9,26,37,23,3,Sunday,4.78
5/2/2022,317,story,95643,6530,1,10,23,29,24,11,2,Monday,4.06
5/3/2022,318,hairy,85817,5941,1,8,24,33,23,10,1,Tuesday,4.03
5/4/2022,319,train,107750,7243,6,26,32,22,10,3,0,Wednesday,3.05
5/5/2022,320,homer,85979,6313,0,3,16,26,24,19,12,Thursday,4.77
5/6/2022,321,badge,76292,5482,0,4,20,35,26,12,2,Friday,4.25
5/7/2022,322,midst,74458,5233,0,3,25,39,24,9,1,Saturday,4.19
5/8/2022,323,canny,72518,5256,0,2,10,30,34,20,4,Sunday,4.73
5/9/2022,324,shine,88932,6146,1,14,32,30,17,6,1,Monday,3.73
5/10/2022,325,gecko,74412,5489,0,2,16,38,29,12,2,Tuesday,4.36
5/11/2022,326,farce,79446,5688,0,9,26,32,21,9,1,Wednesday,3.91
5/12/2022,327,slung,75673,5419,0,2,16,37,31,13,2,Thursday,4.48
5/13/2022,328,tipsy,77585,5522,0,6,33,38,17,5,1,Friday,3.86
5/14/2022,329,metal,73225,5290,1,10,31,34,18,7,1,Saturday,3.89
5/15/2022,330,yield,67115,4963,0,4,16,29,29,18,4,Sunday,4.54
5/16/2022,331,delve,68349,5179,0,2,14,32,33,16,2,Monday,4.5
5/17/2022,332,being,70722,5142,0,4,22,37,26,10,1,Tuesday,4.2
5/18/2022,333,scour,73933,5544,0,8,34,35,17,5,1,Wednesday,3.81
5/19/2022,334,glass,70920,5162,0,4,19,33,27,14,3,Thursday,4.38
5/20/2022,335,gamer,69884,5238,1,4,17,28,26,18,6,Friday,4.52
5/21/2022,336,scrap,66814,4973,1,9,28,34,20,8,1,Saturday,3.94
5/22/2022,337,money,67909,4928,1,7,26,36,21,8,1,Sunday,3.97
5/23/2022,338,hinge,66431,4906,0,5,25,37,22,9,2,Monday,4.12
5/24/2022,339,album,63380,4809,0,5,26,35,24,9,1,Tuesday,4.1
5/25/2022,340,vouch,62723,4835,0,2,9,25,33,24,6,Wednesday,4.83
5/26/2022,341,asset,63188,4733,0,7,28,34,21,8,1,Thursday,3.95
5/27/2022,342,tiara,63846,4842,0,8,36,33,17,6,1,Friday,3.85
5/28/2022,343,crept,60069,4562,0,4,27,38,22,7,1,Saturday,4.01
5/29/2022,344,bayou,56839,4435,0,6,17,33,29,13,2,Sunday,4.33
5/30/2022,345,atoll,60969,4741,0,6,28,36,21,8,1,Monday,4.01
5/31/2022,346,manor,62768,4802,0,6,27,34,21,10,2,Tuesday,4.09
6/1/2022,347,creak,63241,4797,0,5,21,32,25,14,3,Wednesday,4.32
6/2/2022,348,showy,61278,4770,0,2,16,37,30,13,2,Thursday,4.43
6/3/2022,349,peach,65431,4957,1,13,38,32,13,3,0,Friday,3.52
6/4/2022,350,froth,58263,4432,0,5,22,35,25,11,1,Saturday,4.15
6/5/2022,351,depth,56738,4329,0,6,28,39,20,6,1,Sunday,3.96
6/6/2022,352,gloom,58478,4548,0,2,14,35,35,13,1,Monday,4.47
6/7/2022,353,flood,58991,4440,0,3,20,40,28,8,1,Tuesday,4.22
6/8/2022,354,trait,61026,4607,0,6,22,35,24,11,2,Wednesday,4.19
6/9/2022,355,girth,60020,4665,0,6,23,33,23,12,3,Thursday,4.22
6/10/2022,356,piety,55376,4324,0,4,25,41,22,7,1,Friday,4.07
6/11/2022,357,goose,51958,4087,0,2,12,28,32,21,5,Saturday,4.74
6/12/2022,358,float,56684,4323,1,12,30,32,18,6,1,Sunday,3.76
6/13/2022,359,donor,53802,4142,0,3,27,38,23,7,1,Monday,4.04
6/14/2022,360,atone,59968,4762,2,16,34,29,14,4,1,Tuesday,3.52
6/15/2022,361,primo,55989,4391,0,3,22,38,25,10,2,Wednesday,4.24
6/16/2022,362,apron,53430,4112,0,7,30,38,19,5,1,Thursday,3.89
6/17/2022,363,blown,54665,4251,0,6,23,35,26,10,1,Friday,4.19
6/18/2022,364,cacao,47205,4101,0,1,9,27,36,23,4,Saturday,4.84
6/19/2022,365,loser,55359,4399,1,10,28,32,19,8,2,Sunday,3.9
6/20/2022,366,input,50484,3950,0,5,30,38,21,6,1,Monday,4.01
6/21/2022,367,gloat,53342,4194,0,8,21,31,26,12,2,Tuesday,4.2
6/22/2022,368,awful,47645,3861,0,5,21,33,27,12,2,Wednesday,4.27
6/23/2022,369,brink,53111,4118,0,4,22,41,24,7,1,Thursday,4.08
6/24/2022,370,smite,50617,3991,0,6,23,35,24,11,2,Friday,4.22
6/25/2022,371,beady,46089,3670,0,3,19,39,29,10,1,Saturday,4.32
6/26/2022,372,rusty,50450,3954,0,9,37,34,13,5,1,Sunday,3.68
6/27/2022,373,retro,47986,3848,0,6,24,35,24,9,1,Monday,4.06
6/28/2022,374,droll,47312,3844,0,2,16,31,31,17,3,Tuesday,4.55
6/29/2022,375,gawky,45645,3957,0,1,5,22,33,28,10,Wednesday,5.09
6/30/2022,376,hutch,44212,3758,0,1,12,28,28,21,9,Thursday,4.8
7/1/2022,377,pinto,47248,3792,0,5,25,41,22,6,1,Friday,4.03
7/2/2022,378,egret,41765,3515,0,3,14,33,33,15,2,Saturday,4.5
